bugid,summary,component
355954,bookmark it's not working with RC2 ff 2.0,Bookmarks & History
356048,Javascript menu not working in Linux; works in Windows version of same browser,General
356140,Enhanced Bookmark Search not available/working for firefox2,Extension Compatibility
356141,Enhanced History Search not available/working for firefox2,Extension Compatibility
356142,Extended Link Properties not available/working for firefox2,Extension Compatibility
356144,External Application Button not available/working for firefox2,Extension Compatibility
356167,ErrorZilla mod extension not available/working for firefox 2,Extension Compatibility
356170,AutoMarks not available/working for firefox2,Extension Compatibility
356197,Bookmarks Synchronizer extension not available/working for firefox 2,Extension Compatibility
356239,Slim extension list extension not available/working for firefox 2,Extension Compatibility
356315,CSS Validator Extension not available/working for Firefox 2,Extension Compatibility
356318,Fangs Extension not available/working for Firefox 2,Extension Compatibility
356320,Link Toolbar Extension (cdn) not available/working for Firefox 2,Extension Compatibility
356323,Paste and Go Extension not available/working for Firefox 2,Extension Compatibility
356324,Page Validator Extension not available/working for Firefox 2,Extension Compatibility
356399,Feedview not available/working for firefox2,Extension Compatibility
356975,javascript link not working properly,General
357041,LiveHTTPHeaders Extension not available/working for Firefox 2 (RC 3),Extension Compatibility
357114,Spellcheck is not working for Mac on EN-GB for 2.0 RC3,General
357193,"I have used ""this.form.name"" for quite a while, but it is no longer working.",General
357495,Accesskeys do not appear to be working.,Disability Access
357866,opening new page in new window not working,Tabbed Browser
357913,bookmarks are not working,Bookmarks & History
358021,Javascript Window focusing not working,General
358222,New mail message shortcut not working,Keyboard Navigation
358580,window.focus() not working properly in Firefox 2.0,General
358584,extension manager button not working,Toolbars and Customization
358652,Bookmarks and search engines deleted and tabs not working after Firefox 2 install,General
359876,Site not working in FF2. Working in IE6,General
360056,Small Screen Rendering XPI Extension not available/working for Firefox 2,Extension Compatibility
360067,option accesskey of HREF HTML Tag not working,General
360198,window.focus() window.blur() not working on popup window [panel with links],General
360368,Could not use left mouse on opened windows (firefox and other applications); but it still working for Windows (XP) Start menu.,General
360406,gif images are not working in many websites for example the bbc website and speedtest.com,General
360577,"the second URLs and other below in the Sponsored Links cannot be activated and clipboard operations(selection, etc.) are not working correctly",General
360693,Web page autocomplete takes precedence over chrome shortcuts (AKA Ctrl+Up/Down not working),Keyboard Navigation
361238,mouse back button and keybord backspace not working to go back,Keyboard Navigation
362456,Hotkeys often just stop working after closing a tab,Keyboard Navigation
362484,getAttributeNS not working with xml:id,General
362766,window.opener.focus() is not working,General
362885,keyboard tab and control keys not working,Keyboard Navigation
363233,Multiline Personal toolbar not working,Bookmarks & History
363478,DHTML checkboxes not working correctly,Disability Access
363593,Some components on a web page are not working,General
364530,Tabs not working at all,Toolbars and Customization
364558,After updating to firefox 2.0.0.1 menu bar stoped working,General
364630,Mouse wheel stopped working as soon as the update was installed,General
364634,cut and paste (clipboard) in an RTF component editor stopped working,Security
364892,"for login ""copy and paste"" of user name and password in specified filelds not working.",General
365222,Javascript dependent=yes & alwaysRaised=yes attributes not working on window.open,General
365830,Bookmarks Sort by Name feature no longer working in right-click menu,Bookmarks & History
367803,Keyword Searches stop working after Firefox restart,Bookmarks & History
367818,Clear Private Data feature not working,Bookmarks & History
367874,Mouse events not working in back layer,General
368050,Talkback no longer working,General
368689,outerHTML not working,General
369074,Check4change plugin is not working as expected,General
369374,"Bookmarks > Bookmark this page... ""Add"" button not working.",Bookmarks & History
370349,Text size keyboard shortcuts not working properly,General
371713,"Horizontal scrolling using Toshiba Tecra M2 touchpad not working, ALPS driver 6.0.303.4",Shell Integration
372057,Copy & Paste has stopped working under certain circumstances,General
372326,search field stops working when harddrive is full,Search
373024,"Page up and page down, arrow keys randomly stop working unless I switch to another window first",Keyboard Navigation
373074,Right click -> Save image as... not working properly,File Handling
374007,input-text auto-complete drop-down list prevent select box from working,General
374685,"Applescript quit command is working, but ... destructively",Shell Integration
375094,dde not working on some systems and causes unable to open error message,Shell Integration
375245,Many css cursors not working in latest build,Shell Integration
375364,browser.sessionstore.enabled set to true but not working,Session Restore
376186,"all ""mailto"" links have stopped working in firefox 2.0.0.3",General
376492,if JavaPluginCocoa.bundle (Apple Safari) is present Java applet login is not working,General
376543,"cookies not working, cookies error reports, cookies described as ""not enabled"".",General
376593,Load and reload of pages stop working after a period of refreshes because of refresh meta tags,General
376926,can't quit/javascript pop-ups not working/can't close windows,General
379134,JavaScript with xmlhttprequest is not working properly,General
379808,Bookmark Folder Opening not Working,Bookmarks & History
381274,batch-updating icons of bookmarked sites not working,Bookmarks & History
381386,New Window via AppleEvent prevents Session Restore from working,Session Restore
381988,only top 1px of line box is considered when working out if it can fit next to a float,General
382047,"after migration to places build, url bar autocomplete stopped working?",Bookmarks & History
382319,NTLM auth not working for extensions in Minefield,Extension Compatibility
382574,Coolmenus JavaScript 1.2 stops working 2.0.0.4 Menus are OK on 2.0.0.3,General
382671,"Wrong PHP interpretation, button tags (like bold text, paste utl and similar) are not working anymore.",General
382814,When I updated yesterday all the add-ons stopped working,General
384893,After updating Firefox to latest nightbuild bookmarks stopped working,Bookmarks & History
385069,there are two toolbars appear with only one of them working,Toolbars and Customization
385889,search engines stoped working with cyrillic requests,Search
385893,toolbar is not working,Toolbars and Customization
386006,back button and address bar not working,Bookmarks & History
387249,Javascript window.close not working within TYPO3 Dataset Chose window,General
387257,"I try opening firefox instead of the mozilla internet screen popping up I get ""Firefox is already running but is not responding To open a new window you must first close the existing firefox process or restart your system"" BUT nothing is working HELP!!!",General
387461,"Javascript Restriction ""Disable or replace context menus"" not working in Google Spreadsheets",General
389483,Browser display window randomly stops working with Alert: Type Error: window._content has no properties,General
389696,Ctrl+R stops working after switching tabs,Keyboard Navigation
390118,"The ""Control+T"" option is not working",Tabbed Browser
390152,working with spreadsheets in google docs under Linux Firefox is very slow,General
391078,Flash loader component not working in FF,General
391264,foxy tunes is not working,Extension Compatibility
391293,Search/location bar autocomplete stops working after customizing the toolbar,Toolbars and Customization
391795,Mouse 3 (middle mouse) randomly stoped working. No longer opens bookmarks in new tab.,Bookmarks & History
392020,RSS Live Bookmark not working in Firefox 3a7,Bookmarks & History
392430,Working Fine but Suddenly Stuck Loading Pages shutdown windows with XPCOM:Event Receiver Not Responding,General
395680,email java script not working,General
396120,Switching globalCompositeOperation modes when working with Canvas elements leaks memory [Mac],General
396691,Page misbehaving and report broken web page not working.,General
396848,execCommand is not working on Minefield/3.0a8pre,General
398863,Multiple tabs opened and browser stops working.,General
399246,Application crashes. Browser does not open. IE  and Thunderbird are working OK,General
399720,"Starting up Firefox home page isn't working well, and some websites aren't either",General
400438,video downloader 2.0 isnt working any more,Extension Compatibility
400602,There is now bookmarks script working with firefox where we can place a button on a webpage.,Bookmarks & History
401060,Event object in javascript is not working,General
401390,copy paste. is not working  on web mail pages,General
401818,firefox stopped working after latest security update dated Oct 30th2007,General
402012,quicktime not working in firefox,Shell Integration
402186,Event.shiftKey not working,General
402467,cut & paste shortcuts not working - neither does edit cut edit paste.,General
403086,Attachments in Yahoo Mail are not working again,General
404588,state=disabled only working for stock icons,Shell Integration
404597,when working with dual monitors a new window fails to allow text entry into address bar or form elements,Shell Integration
405711,Internet Connection not working on firefox at all after 2.0.0.10 upgrade from 2.0.0.9,General
405827,The CSS commands to edit the scrollbar aren't working.,General
405847,"Form submissions not working properly. Plus, not able to log onto OpenWebMail 2.52",General
406116,"The ""Keyboard Express"" program stopped working",General
406284,the scroll wheel on my mouse stopped working after installing 2.0.0.11 for Windows,General
406392,"firefox freezes, stops working",General
406560,Cookie blocking doesn't appear to be working; started with upgrade to version 2.0.0.10,General
406725,"ff settings, file types, manage...<--settings not working",File Handling
406741,delicious not working,Bookmarks & History
407471,Command+L keyboard shortcut to go to location bar stops working after a while.,Keyboard Navigation
409228,cache working incorrect with compressed javascript files,Bookmarks & History
409517,network functions in Firefox stops working after using Firefox for a long period of time,General
409755,Zoom In/Out Shortcut (Ctrrl +/ -) Not Working fine,General
409851,[10.5?] upgrade not working,General
410356,boxes on website with drop down boxes/arrows aren't working,General
410600,Playing Flash movies with alpha or moving images and moving mouse causes USB devices to stop working and crash,Shell Integration
411618,"Firefox shuts down for no apparent reason, I can be working away browsing the web or even after I have just started Firefox",General
411755,Cooliris Previews addon not available/working for Firefox 3,Extension Compatibility
411756,Image Zoom addon not available/working for Firefox 3,Extension Compatibility
411759,Aquatint Black addon not available/working for Firefox 3,Extension Compatibility
411760,MinimizeToTray addon not available/working for Firefox 3,Extension Compatibility
411763,"German Dictionary, extended for Austria addon not available/working for Firefox 3",Extension Compatibility
411765,Map+ addon not available/working for Firefox 3.5,Extension Compatibility
411766,Aero Fox addon not available/working for Firefox 3,Extension Compatibility
411767,Fast Video Download addon not available/working for Firefox 3,Extension Compatibility
411768,Clipmarks addon not available/working for Firefox 3,Extension Compatibility
411770,Answers addon not available/working for Firefox 3,Extension Compatibility
411775,Firefox Companion for eBay addon not available/working for Firefox 3.5,Extension Compatibility
411779,Tab Effect addon not available/working for Firefox 3,Extension Compatibility
411782,User Agent Switcher addon not available/working for Firefox 3,Extension Compatibility
411783,Delicious Bookmarks addon not available/working for Firefox 3,Extension Compatibility
411784,FEBE addon not available/working for Firefox 3.5,Extension Compatibility
411798,Skype Toolbar for Firefox addon not available/working for Firefox 3,Extension Compatibility
411805,VideoDownloader addon not available/working for Firefox 3,Extension Compatibility
411808,Fasterfox addon not available/working for Firefox 3,Extension Compatibility
411809,Dictionnaire MySpell en Français (réforme 1990) addon not available/working for Firefox 3,Extension Compatibility
411818,FireFTP addon not available/working for Firefox 3,Extension Compatibility
411821,Foxmarks Bookmark Synchronizer addon not available/working for Firefox 3,Extension Compatibility
411824,Cooliris Previews addon not available/working for Firefox 3,Extension Compatibility
411830,Blue Ice addon not available/working for Firefox 3,Extension Compatibility
411836,"after updating the last patch the menu buttons stopped working ( refresh, back, forward are all grayed )",Menus
412066,Context menus and keyboard input stop working after some use (~1 day) on Leopard,General
412231,'Close' button of 'Print preview' is not working when new page is opened.,General
412422,navigateToURL and getURL not working in Firefox,General
412488,"The ""New pages open in new tabs"" option is not working",Tabbed Browser
412640,browser.tabs.warnOnClose is ignored or not working,Tabbed Browser
412750,Javascript document.from.element.length is not working,General
413393,mozilla not working,General
413861,browser.ssl_override_behavior = 2 is not working for me.,Security
414033,Clear Private Data not working,General
414096,Keyboard accesskeys not working,Keyboard Navigation
414205,Menu File --> Exit function working properly.,Menus
415448,verify registeration not working,Bookmarks & History
416347,"""Open in new tab"" with Links in the bookmark bar is no more working...",Bookmarks & History
416671,when navigating to certain links FireFox stops working,General
416746,Installed updates and firefox stopped working.,General
417149,Windows update and windows live messenger are not working,General
417237,click not working,General
417484,Forward and Back hooks no longer working,General
417527,"""Open all in Tabs"" not working",Tabbed Browser
417824,Feature change in Bug 412862 stops Bookmarklets that resize windows from working.,General
418383,Bookmarks not working,Bookmarks & History
419251,Replace and innerHTML not working as expected,General
419719,Vista theme is not working,Theme
420057,"address bar not working, will not accept enter - running Leopard networked homes",General
420189,Page down and end does not working while trying to see below the header,General
420447,Autoscroll not working on this page,General
420448,"Not working ""Delete"" menu item in Most Visited",Bookmarks & History
420562,web not working for two dais,General
420784,Tab and return not working to navigate through textboxes,Keyboard Navigation
421320,Play buttons not working,General
421730,automatic download not working on vista,General
421830,Open all in tabs for recently used tags not working,Bookmarks & History
421896,Go Forward/Back Not working from mouse clicks,Shell Integration
422114,Close Window not working with cmd+shift+W,Tabbed Browser
422126,menu pulldown not working,Menus
422414,drop down boxes not working on ebay. Problem in my ebay only.,General
422437,J and K hotkeys in Google Reader stop working after a link is opened in another tab,Keyboard Navigation
422443,"""Search Maps"" button stops working after initial search on Google Maps",General
422616,FLV Video Player for flash is not working with MPEG4 files,General
422727,FCKEditor popups not working,General
423171,extensions not working,Extension Compatibility
423278,"silverlight version 1.0 is not recognized on firefox 3 beta 4... it will not install, or if i does install, it does not show it is working on the site.",Extension Compatibility
423381,"[10.5] ""Move focus to next window in active application"" shortcut not working",Shell Integration
423769,"""Restore"" bookmarks in Places seems not to be working",Bookmarks & History
424273,Courier font not working propably,General
424275,MARQUEE LOOP is not working (FIREFOX ignores it),General
424310,Autoscroll is no longer working,General
425050,"Sometimes after a while, the ""Open Link in New Tab"" property menu item stops working",Tabbed Browser
425608,Save Image As --> Feature not working ---> Pops up a window that allows one to save only an HTML,General
425751,allowed pop-ups not working,General
425843,Scrolling through space bar stopped working,Keyboard Navigation
426164,File association not working correctly. File is opened but with error message.,Shell Integration
426476,[Mac] FF3-b5-rc2 installs on OS X 10.3 although OS unsupported. Working FF2 blown away.,Installer
426521,DotNetNuke pop up HTML editor not working.,General
426626,Import Wizard should show an hourglass while it is working,General
427116,external mailto not working,File Handling
427626,"New ""full-page-zoom"" function not working with Macromedia Shockwave objects",General
427680,flash in one tab/window stops working when closing another tab/window,General
427770,ctrl+d is not working when trying to bookmark a web page,Bookmarks & History
428006,Firefox 2.0.0.13 crashes when navigating about the SAP Portal Record Working Time,General
428771,Fail in downloading PDF files. Plugins for Adobe files seem not working,General
429196,Video streaming stops working when operates from a session in the background,General
429448,"drag and drop from firefox to finder folder causes tabs and Quit Firefox to stop working, hangs on shutdown",General
429647,All keyboard shortcuts stop working in recent Gecko/2008041707 build when keyboard layout is Russia,General
429783,Specific page of an otherwise working site crashed FF3B5,General
430049,firefox not working,General
430097,PicLens addon not available/working with Firefox 3,Extension Compatibility
430601,Access Key not working,Keyboard Navigation
430781,Scrolling by Up/Down/PageDn/PageUp keys sometimes stops working,Keyboard Navigation
431749,Clear benefits site not working with firefox...,General
431937,Combo boxes not correctly working,General
431998,Favicons of websites aren't loaded/updated when connection to the web page is working again after previous failed attempt,General
432358,Proportional column width in HTML tables not working,General
432821,TabGroups not working/available for Firefox 3,Extension Compatibility
432829,Chinese pera-kun addon not available/working for Firefox 3,Extension Compatibility
432972,Snap Links addon not available/working for Firefox 3,Extension Compatibility
433363,skype add-on stops web radio working,Extension Compatibility
433606,JavaScript used to embed a video not working,General
433612,URLs to anchors on page with frames not working correctly,General
434380,"spellchecker not working, at all.",General
434399,Adobe Flash key listeners not working,Extension Compatibility
434506,"Firefox 3 RC1 Keyboard shortcut to Bookmarks->Home not working, was ok with beta 5",Keyboard Navigation
434908,ilike and photobuzz from orkut opensocial is not working any more,General
435017,the add on google desktop search can't be uninstalled and Autoform is not working properly,Extension Compatibility
435084,Working with 3rd Party print screening software,General
435211,Audio stream not working with 5.0...,General
435520,Some Flash elaborated contents are not working propperly,General
435523,Save tabs on exit not working,Tabbed Browser
435653,Keyboard and Mouse problems in flash (keypresses not recorded/working),General
435658,scrolling with keyboard on a web page often not working,General
435746,moving unfiled bookmarks should create a working copy of it,Bookmarks & History
435963,Single and double-quote input stops working,General
436858,Firefox stops working properly after about 3 hours of use,General
437292,'Set as desktop background' not working in Ubuntu 8.04 and Fedora 8,Shell Integration
437673,Can't get wingding fonts working in Firefox 3 RC2,General
437875,JavaScript stops working completely.,General
438237,HP Credential Manager (Fingerprint reader) stopped working after upgrading to FF3 RC1,General
438272,Thickbox not working over Java applet,General
438924,Reloading a zoomed page not working on canvas with text,General
438932,The Enter/Return key stops working intermittently in the location bar,Address Bar
439508,Windows Live Personalized Search Page is not working properly (online gadgets can't load),General
439680,Bookmarks toolbar not working as expected with several folders,Toolbars and Customization
439685,Ctrl+Tab stops working with Flash application,Tabbed Browser
440005,Links and clickable items like scrollbar not working,General
440087,Keyword Search / %s substitution not working in FF3,Bookmarks & History
440311,document.createCDATASection is not working though docs say it is,General
440348,AutoComplete and AwesomeBar is not working.,Address Bar
440492,XML rendering is not working las it was in 2.0.0.14.,General
440663,UTF-8 characters not working in location field,Address Bar
440927,Code to hide Bookmarks Toolbar menu item not working in OS X,Bookmarks & History
441093,back/forword button stops working/unresponsive and recent pages arrow has no results,General
441097,Keyboard shortcuts not working after switching to Firefox with Cmd+Tab,Keyboard Navigation
441141,Select tags select options not working correctly,General
441184,Personal toolbar disappears. Everything stops working,Toolbars and Customization
441223,Mouse scroll and Middle mouse button stop working,General
441261,ctrl+w is not working,Bookmarks & History
441317,Address bar new typed URL's not working,Address Bar
441551,"'x' missing to close tab, and password manager not working when many tabs open",Tabbed Browser
441804,CEF Bank and Real Bank are not working in Firefox 3,Extension Compatibility
441926,"""Arrange by name"" button in bookmarks menu is not working.",Bookmarks & History
441972,some features stop working once Firefox is restarted.,Bookmarks & History
441996,shortcut Ctrl+shift+Del occasionally not working when form elements have focus,Keyboard Navigation
442033,Line word wrap not working when using Windows Classic desktop,Theme
442111,showModalDialog options not working correctly,General
442844,Java no longer working after upgrade to Firefox 3.0,General
443193,Flash content not working on gametrailers.com,General
443472,"Back, Forward, Refresh, Stop and Home buttons not working after several uses",General
443975,jquery issue with firefox 3: functions not working correctly,General
444069,Open windows and tabs from last time not working,Session Restore
444306,search option is not working properly.,Search
445023,opening new window prevents new tabs in old window from working,Tabbed Browser
445122,"Able to Disable Toolbar, but Toolbar still working",Toolbars and Customization
445160,History Sidebar and 'Show All History' blank. Auto-complete still working.,Bookmarks & History
445189,"""send sms"" button is not working in Firefox, works on Safari, IE but not on Firefox",General
445397,"Working with xul list boxes with many elements is extremely slow. Mouse clicks and keyboard navigation anywhere on the page, as well as in the listbox itself,  become extremely slow.",General
446541,GIF (apparently executable) ceases SSL (secure) pages from working on ANY and ALL websites,Security
447802,Scrolling on very long pages stops working part of the way down,General
449613,"CSS styles stop loading, location bar stops working",General
450264,"Back and Forward functions not working with buttons, file menu or keyboard",Menus
450411,"After using browser for awhile, the CSS files stop working on webpages.",General
450998,"ctrl+T shortcut doesnot open a new tab sometimes, We have to click some other tab and then it starts working.IMPORTANT: This even occurs with normal web pages sporadically and occurs with some plugins like PDF reader plugin loaded.",Keyboard Navigation
451144,Browser options for tabs not working.,Preferences
451253,Toolbar buttons and address bar stop working after some use.,Toolbars and Customization
451531,Regular 'Firefox has stopped working' message boxes appears to be no obvious link.,General
451569,"""download them all"" not working correctly",File Handling
452284,"Toolbar button ""GMail This!"" not working",Extension Compatibility
452617,Clearing History Using ctrl-shift-delete not working anymore with new version 3.0,Bookmarks & History
452658,Back button stops working,Address Bar
453034,max-width not working on tables like in FF 2.x,General
454081,clipboard paste is not working in the right click menu,General
454095,Firefox has stopped working,General
454143,unable to verify the identity of domain in Fx2.. (working with all other browsers),General
454396,Back and Forward toolbar buttons 'grey' = not working. All Bookmarks gone,General
454943,Navigation bar not working correctly,Toolbars and Customization
455096,"After leaving fullscreen Youtube video, ALT key and Synaptics touchpad scrolling stops working",General
455129,Tags added by using the bookmark star icon not working,Bookmarks & History
456192,"Navigator buttons/ back, forward, refresh, stop quit working",Toolbars and Customization
456227,Javascript is not working,General
456261,garbage collector not working properly,General
456549,Remember password is not working for pages accessed from urls of jar:http://.. format,General
456711,Unable to open any webpage in firefox after update - MSIE working fine,General
456750,Roboform Toolbar not working,Toolbars and Customization
457767,Automatic connect to Internet promt (via VPN) when working offline.,General
457846,mailto tag is not working,General
458053,Url/address bar just quits working...,General
458185,"Problems with tested Flash content on FF 3.0.3. Displaying OK, but menu not working.",General
458365,Webmail notifier not working:  email addresses are deleted when Firefox closes down,General
459529,Mootools not working on 3.1b2 pre,General
459587,"Organize bookmarks and bookmark this page NOT working, corrupt",Bookmarks & History
459825,"Pages not downloading fully, video plug-ins not working",General
460003,Lightbox effect not working for this gallery page in FF 3.0.3,General
460044,after upgrading Firefox add-ons either stoped working or became clunky.,Extension Compatibility
460375,Quicktime plugin caused my CD Rom to stop working,General
460702,modified since not working - apparently x'ed out,General
460835,Scim IM stopped working from 3.0.3 to 3.1_beta1,General
461701,Tineye extension stopped working in last couple days,Extension Compatibility
462333,Spell check not working,Menus
462341,Firefox not working,General
462394,"Right click, save as (either files, image as, etc) is not working",File Handling
463194,Menu History > Recently Closed Tab not working after a while from new Profile,Tabbed Browser
463847,"The directions for reducting the oversize page and text in 3.03 is not working on my computer.  Resetting the toolbar, etc. does not work.  What can I do?",General
464830,Newest Update causes myspace mobsters to stop working in FireFox.,General
464950,Javascript Drag and Drop reordering of Netflix Queue is not working.,General
465399,"xmlhttp request object not working in 2.0.0.18 update (in this case, for a dynamic chat system)",General
465523,back/forward button stopped working,General
465708,"RAM Cache not working in Firefox 3.1 Beta 1 and Pre-beta 2, was working in Firefox 3.0.x",General
465918,ctrl+page down/up not working when cursor in Gmail Compose textarea,General
465966,Online map sites stopped working after last upgrade of Firefox,General
466677,Flash games not working properly with scandinavic letters in domains,General
466851,Java not working,General
467566,"Java Console 6.0.0.0, 01 and 02 addon not available/working for Firefox 3.5",Extension Compatibility
467588,Firebug addon not available on AMO/working for Firefox 3.1,Extension Compatibility
467606,Foxmarks Bookmark Synchronizer addon not available/working for Firefox 3.5,Extension Compatibility
467628,FireFTP addon not available/working for Firefox 3.5,Extension Compatibility
467646,Fast Video Download addon not available/working for Firefox 3.5,Extension Compatibility
467663,Aero Fox addon not available/working for Firefox 3.5,Extension Compatibility
467676,All-in-One Sidebar unavailable/not working for firefox 3.5,Extension Compatibility
467733,flashplayer plugin not working,General
468149,"Bookmarks not working, unable to use JSON backups",Bookmarks & History
468219,"Using ""Save As"" on a page with hundreds of images when working offline gives hundreds of blank dialogs and not all images saved",General
468602,"smooth scrolling isn't working with arrow keys, PgUp, PgDn, scroll bar",General
468719,Image Zoom 0.3.1 not available/working for Firefox 3.5,Extension Compatibility
468765,right clicking not always working,Menus
468770,right bar not working,General
468854,firefox stops working and I get untitled tabs instead of websites.  I have to restart my mac to use firefox again,General
469381,Cooliris Previews addon not available/working for Firefox 3.5,Extension Compatibility
469383,"Fixed Div script is not working if there is a <!DOCTYPE > in the source, [ document.body.scrollLeft  is always Zero ]",General
469512,ATN web accelerator / ispbooster / slipacell.dll 6.0.2 not working with Firefox anymore,General
470134,Key Scrambler not working with latest build,Extension Compatibility
470140,gTranslate 0.5.1 not available/working with Firefox 3.5,Extension Compatibility
470328,"Refresh quit working, whether by F5, the refresh button, or right-click -> ""reload""",General
470580,Home Page Up Page Down End stopped working properly after upgrade to 3.0.5,General
471383,"Yahoo! Application State Plugin, CA Link Advisor and CA Toolbar is not working and cannot be removed",Extension Compatibility
471394,Update installation from Firefox 3.0.4 to 3.0.5. not working,Installer
471454,Logitech MX Laser Mouse -Back button not working all the time in Firefox,General
471546,bookmarks functionality not working,Bookmarks & History
472660,"""Do this automatically for files like this from now"" check box functionality is not working for office 2007 files while accessing file from repository( .docx, .pptx, .xlsx extention)",Preferences
473133,Scroll Wheel Not Working,General
473578,The webpage is freezing when loading and won't load the page except for the logo of the website. The browser was working correctly until we downloaded firefox 3.0.5,General
473913,Search bar not working. Unable to search any query.,Search
474172,Tab tearing not working well on multi-monitor configuration,Tabbed Browser
474896,"bookmarks not saving, back&forward buttons not working",Bookmarks & History
476583,Return(Enter) Key not working in Address bar,General
477249,Auto fill in not working,Address Bar
477501,Bluetooth mouse stops working,General
477520,CSS import no longer working for files other than .css,General
477529,general.useragent.override not working,Preferences
477736,<video> and <audio> not working with .ogv extension,General
477802,Norton Identity Safe not working with 3.06 upgrade,General
478634,Browser stops working after 30-40 mins,General
479354,"Cut/copy/paste keyboard shortcuts not working in ""Save to PDF"" print dialog in Firefox Mac",File Handling
480327,Databound DropDownList are not working in Firefox,General
480895,Menu navigation functionality is not working fine.,Menus
481565,firefox crash not working at all after autoupdation,General
482960,BBCodes not working,General
483203,button click event not working in my asp.net web application.,General
483306,Some Page Logins not working,General
483561,Ctr+Enter is not working in Address Bar,Address Bar
484023,Shift - Page down not working in source code viewer,General
484101,Browser stops working when multiple browsers are open,General
484514,popup blocker now working,General
484549,"""Remember what I enter in forms and search bar"" option not working",Address Bar
484810,Bookmark This Page stops working if bookmarks.html is deleted,Bookmarks & History
485916,"SWFObject is working on all browsers but in FireFox 3.0.8, Menus are coming behind the flash area.",General
485978,All middlemouse functions stopped working with upgrade to 3.0.8.,Tabbed Browser
486695,javascript not working if it include in <script /> instead of <script></script> (XHTML),General
486997,webpages remember me function not working.,General
487401,Accessing the zoom window (green button) feature via keyboard shortcut isn't working,Keyboard Navigation
488115,Session restore is not working,Session Restore
488284,disk_cache_ssl not working,File Handling
488970,Session restore has stopped working,Session Restore
489012,Auto search and redirect function not working.,General
489945,Online Banking is not working,General
490346,POST 'ing data in an XMLHTTP request working differently in this version,General
490415,"Enter, Ctrl+Enter, Ctrl+Shift+Enter Keys not working with Mozilla 3.5 Beta 3 & Beta 4",Address Bar
490580,After firefox update add-on and popup windows not working,General
490804,"STRG+Shift+T is not working, when a empty tap is open",Tabbed Browser
491019,Toolbar buttons not working,General
491553,[meta] Keep Firebug and Chromebug working on 1.9.2,General
491666,on windows 7: icons of downloads arent working correctly,General
491787,Transparentcy not working on a mac..,Extension Compatibility
491856,Remember password option not working,General
493542,Adobe Acrobat Connect Presentations Are Not Working,General
493744,2 issues - 1) URLs in bookmarks being over written 2) Firefox stops working after ~2 hours,Bookmarks & History
495657,Navigation buttons not working after changing title on a board by Javascript,Keyboard Navigation
495669,Right Click isn't working,General
496169,"Double tabs opening, left click not working properly",Tabbed Browser
496663,[3.5Beta99testday] flst has stopped working,General
496730,linked button images not working in all websites,Bookmarks & History
496739,multiple extensions not working after complete uninstall / reinstall and new profile,General
496762,"Enter, Ctrl+Enter, Ctrl+Shift+Enter Keys not working with Mozilla 3.5 Beta",Address Bar
497142,Wordpress Admin pages not working properly,General
497159,"Text is blurred, probably antialias is not working correctly",General
497427,config.trim_on_minimize not working when minimizing using windows key+M (Command Key+M),General
497824,tab menu not working?,Tabbed Browser
497906,"Can't open any page, Address bar is not working",Address Bar
498026,"""Always show the tab bar"" not working when menu bars are collapsed",Tabbed Browser
498061,Javascript injection not working,General
498123,"FireGesture stopped working since firefox 3.0.11, also FileGesture will not uninstall",General
498381,Download not working,General
498972,autocomplete not working with middle-click-opened tabs,Address Bar
499445,Choose User Profile dialog not working - at all,General
499461,mailto: GoogleMail handler not working at all,General
499539,facebook chat not working correctly,General
500077,forget all about more than one site at the same time not working,Bookmarks & History
500315,Session restore not working when last tab was blank,Session Restore
500461,Get a working WeaveCrypto.dll for WinCE,Sync
501337,Cross domain access not working for http and https,Security
501425,Upgrade from Firefox 3.0.11 to 3.5 causes Google Toolbar to stop working,General
501529,Not working in Windows 7 on final release,General
501638,Paste within FF3.5 (Win XP) stops working after first paste,General
501821,random things not working or working badly,General
501917,Color management not working on wide gamut monitors,General
502028,Back button and key aliases randomly stop working,General
502044,Drag-and-drop (Rico/prototype) no longer working in Firefox 3.5,General
502182,Many UI elements are not working,General
502436,Alt+left/right are no longer working as keyboard shortcuts for navigation,General
502751,Some flash player on certain sites are not working anymore,General
503542,Clearing Active Logins causes links to stop working for a number of clicks,General
503995,I am not able to sing into youtube using foxfire keeps coming back to the site without sign in working,Bookmarks & History
504779,text-decoration style isn't working when applied in SPAN and DIV inside of TD,General
505076,Separate Quicktime popup windows not working in Firefox but work in IE,General
505164,Right Click option not working in firefox.,General
505421,Error page changes address (try again not working),General
506453,JAVA not opening when using firefox with pogo games yet working with IE,General
506620,ajax stopped working on a users pc,General
506683,Right click not working on page.,Tabbed Browser
507332,Firefox still working but can't close the window,General
508042,Getting message that Firefox can't open webpage internet connection not working but IE opens site with no problem,General
508296,Right click stops working if you try to use it in FB chat.,General
508463,Awesome Bar Stops Working after Surfing for a While,Address Bar
508513,"SSL certificate WILDCARDS not working properly on 3.0.13 (in 3.0.12 and previous versions, the certificate was OK). (ssl_error_bad_cert_domain)",Security
508880,"Spell check feature not working on initial install. No underlining, no context menu even when turned on!",General
509062,page doesn't refresh even though connection is working,General
509178,Javascript:void(0): link not working.,General
509735,the search toolbar search icon not working when clicked with the mouse,General
510830,Shortcut ctrl+T is not working,General
510852,bad working with windows 7,General
511164,Alt for Images <img> not working,General
511496,border-image and float not working correctly together,General
